file_name,province,year,num_all,num_c1,num_c2,num_c3,num_c4,num_c5,TV_S,TV_D,TV_O,A_S,temperature,rain,death
gharbi-1400,West Azerbaijan,1400,155935085,138673767,5424888,4357772,1581868,5896790,8863202,8360597,2783515,74.09525177,13.1,177.1,432
gharbi-1401,West Azerbaijan,1401,203562929,184223048,5676422,5147478,1522311,6993670,12837918,14341253,2630047,75.49888832,14.4,188.7,498
gharbi-1403,West Azerbaijan,1403,254366288,230314762,6556145,5433016,1566299,10496066,15063863,9655067,3286191,73.54619064,14.8,105.6,376
gilan-1395,Gilan,1395,288863734,260904453,14313948,5125581,2690860,5828892,27554359,50055210,1285222,74.87914756,14.8,1316.7,499
gilan-1396,Gilan,1396,362184329,331248700,14348714,6352566,2915677,7318672,21378060,86192930,2568736,74.72356211,15.5,1297.4,531
gilan-1397,Gilan,1397,425342631,391736649,15711135,6774815,3672806,7447226,10529663,115780475,2715443,71.44462854,15.7,1256.2,504
gilan-1398,Gilan,1398,385876601,356563971,12944434,5974984,3394321,6998891,7095766,102324650,1853531,68.84547666,15.4,1296.3,424
gilan-1399,Gilan,1399,340752665,310692481,13657616,5810516,3392005,7200047,6075219,80105678,2098942,68.39026047,16.1,1261.1,396
gilan-1400,Gilan,1400,356239054,325743739,15375254,5352559,2660675,7106827,5712732,80501840,1829729,68.04934963,16.8,1172.5,415
gilan-1401,Gilan,1401,504555789,462013586,27531939,4421841,1313471,9274952,6626995,52667126,2924002,64.68351152,16.1,1261,449
gilan-1402,Gilan,1402,493986464,454798721,24569559,4468438,1095164,9054582,8139640,48324873,2842167,63.24425271,17.4,1242.5,444
golestan-1395,Golestan,1395,104355294,92418890,5929038,2213974,1362263,2431129,11985242,17697768,588045,77.07026341,17.2,562.7,213
golestan-1396,Golestan,1396,138702634,124802460,7177126,2531132,1376621,2815295,14089822,29774707,584456,79.64178561,17.6,559.4,276
golestan-1397,Golestan,1397,163014333,149304820,6415395,2770045,1532208,2991865,11103075,39359352,793436,79.97568339,17.7,558.9,240
golestan-1398,Golestan,1398,148162946,135616968,6133332,2318927,1445901,2647818,7596842,34287811,572812,77.66164778,17.6,494.9,279
golestan-1399,Golestan,1399,125745992,114477288,5244546,2254682,1171498,2597978,7036991,26399246,541825,76.51484859,17.8,492.4,227
golestan-1400,Golestan,1400,132801315,121466293,5167166,2359434,1097136,2711286,5947081,29495531,595305,75.28107917,18.9,537,291
golestan-1401,Golestan,1401,169535943,156132834,6165186,3029426,1182046,3026451,4711905,43957677,821248,75.57683326,18.9,503.1,353
golestan-1402,Golestan,1402,179778845,165059415,7607546,2656885,1303821,3151178,12107078,46031547,916507,76.39593576,20.1,446.3,365
golestan-1403,Golestan,1403,183983111,169687227,6767640,2827254,1462731,3238259,26064318,45117537,2249287,79.55158665,20.1,414.2,319
hamedan-1395,Hamedan,1395,99272950,83663880,6611720,1963651,4306076,2727623,15222662,10212822,1207630,80.56888996,11.4,289.5,337
hamedan-1396,Hamedan,1396,138777226,113388610,9756971,3732214,5488057,6411374,15321223,14235536,693785,80.72539076,11.5,265.6,340
hamedan-1397,Hamedan,1397,174034655,143815358,12132079,6061340,5151714,6874164,14124410,24340506,204549,79.17181404,11.8,255.9,304
hamedan-1398,Hamedan,1398,188660921,155566605,12856336,6415708,3543872,10278400,15211023,35517430,906425,78.3690453,11.5,222.2,352
hamedan-1399,Hamedan,1399,164075111,133013645,11460404,6501316,1134767,11964979,10992448,28123818,1215955,77.78949188,11.7,189.4,249
hamedan-1400,Hamedan,1400,190778074,155943925,12706005,7996108,838203,13293833,12405064,35760879,881291,78.10815345,13,181.4,250
hamedan-1401,Hamedan,1401,245440161,205950316,14270243,8952419,833169,15434014,18281348,52819500,846338,77.19107333,11.8,229.7,320
hamedan-1402,Hamedan,1402,250401216,209768669,14279357,8189690,900654,17262846,25096979,50115336,835470,76.89835007,12.4,205.7,298
hamedan-1403,Hamedan,1403,252127337,211959522,14228412,7754352,830871,17354180,21347201,48554874,612263,74.87385495,12.1,307.3,253
hormozgan-1395,Hormozgan,1395,102839291,70736921,6819993,2921458,3357278,19003641,12842755,11373551,489791,74.69279597,27.2,169.6,217
hormozgan-1396,Hormozgan,1396,123849177,87326939,7066307,3163328,5429340,20863263,12921918,13742669,498492,75.15282136,27.5,118.2,212
hormozgan-1397,Hormozgan,1397,138266278,100943488,7180152,3226580,5569755,21346303,13060507,15349494,601471,75.84118411,27.5,109.3,235
hormozgan-1398,Hormozgan,1398,120000212,90273386,6285709,3076449,2001269,18363399,15195450,11951453,414692,75.3930294,27.6,102.5,228
hormozgan-1399,Hormozgan,1399,113620390,83660087,6392087,5217475,3127637,15223104,18228754,11406594,11350,77.51108197,27.6,94.8,305
hormozgan-1400,Hormozgan,1400,127165477,93226160,8315134,3252644,2776461,19595078,15651659,14241450,751512,73.62372881,29,94,318
hormozgan-1401,Hormozgan,1401,144363683,110293266,8276530,2503996,1771491,21518400,9252101,15311856,779721,72.80830907,29.1,180.2,402
hormozgan-1402,Hormozgan,1402,194259902,145433319,12807441,2861196,1496703,31661243,13517482,17329222,1106037,72.55646702,30,89.2,325
hormozgan-1403,Hormozgan,1403,216772610,163218430,13470976,3974598,1001238,35107368,14484522,20048522,1030442,71.79653986,29,96.8,241
ilam-1395,Ilam,1395,30930171,26228214,1220772,1338862,481594,1660729,1669963,3911771,488270,68.45877014,14.8,567.6,105
ilam-1396,Ilam,1396,39869235,34430367,1358474,1444322,674482,1961590,2217606,3936481,729617,70.17728629,14.9,523.8,128
ilam-1397,Ilam,1397,44309120,38626769,1598845,1359699,702953,2020854,2785365,4314500,920632,70.84476844,15.2,534.8,130
ilam-1398,Ilam,1398,46723623,40665199,1469789,1411106,933968,2243561,2651890,4744640,1022701,69.63007078,15.1,484.2,145
